"theta","posterior_density","posterior_mass"
15.5155155155155,9.91981579056922e-15,9.92974553610534e-16
15.6156156156156,1.01738092425432e-14,1.0183993235779e-15
15.7157157157157,1.04349754753559e-14,1.04454208962522e-15
15.8158158158158,1.07035360522258e-14,1.07142503025283e-15
15.9159159159159,1.09797199704892e-14,1.09907106811704e-15
16.016016016016,1.12637639309452e-14,1.12750389699151e-15
16.1161161161161,1.15559126176837e-14,1.15674800977815e-15
16.2162162162162,1.18564189888353e-14,1.18682872761114e-15
16.3163163163163,1.21655445786944e-14,1.21777223009954e-15
16.4164164164164,1.24835598116973e-14,1.24960558675649e-15
16.5165165165165,1.28107443287477e-14,1.28235678966443e-15
16.6166166166166,1.31473873264114e-14,1.31605478742857e-15
16.7167167167167,1.34937879095237e-14,1.35072952047285e-15
16.8168168168168,1.38502554577735e-14,1.38641195773509e-15
16.9169169169169,1.42171100068616e-14,1.42313413482099e-15
17.017017017017,1.45946826448484e-14,1.46092919367852e-15
17.1171171171171,1.49833159243398e-14,1.49983142385784e-15
17.2172172172172,1.53833642911914e-14,1.53987630542457e-15
17.3173173173173,1.57951945304339e-14,1.58110055359699e-15
17.4174174174174,1.62191862301623e-14,1.62354216518142e-15
17.5175175175175,1.66557322641645e-14,1.66724046688334e-15
17.6176176176176,1.71052392940962e-14,1.7122361655752e-15
17.7177177177177,1.75681282920491e-14,1.75857140060552e-15
17.8178178178178,1.80448350844018e-14,1.80628979823842e-15
17.9179179179179,1.85358109178754e-14,1.85543652831586e-15
18.018018018018,1.90415230487671e-14,1.90605836323995e-15
18.1181181181181,1.95624553563763e-14,1.958203739377e-15
18.2182182182182,2.00991089816858e-14,2.01192282098957e-15
18.3183183183183,2.06520029924078e-14,2.06726756680759e-15
18.4184184184184,2.12216750755649e-14,2.12429179935584e-15
18.5185185185185,2.18086822588176e-14,2.18305127715892e-15
18.6186186186186,2.24136016618225e-14,2.24360376995221e-15
18.7187187187187,2.30370312789532e-14,2.30600913703235e-15
18.8188188188188,2.36795907947862e-14,2.37032940888751e-15
18.9189189189189,2.43419224338205e-14,2.43662887225431e-15
19.019019019019,2.5024691845965e-14,2.50497415875526e-15
19.1191191191191,2.57285890294078e-14,2.57543433727806e-15
19.2192192192192,2.64543292925527e-14,2.64808101026554e-15
19.3193193193193,2.72026542567954e-14,2.72298841409364e-15
19.4194194194194,2.797433290199e-14,2.80023352372273e-15
19.5195195195195,2.8770162656555e-14,2.87989616181732e-15
19.6196196196196,2.95909705342541e-14,2.96205911253796e-15
19.7197197197197,3.04376143197915e-14,3.04680824021937e-15
19.8198198198198,3.13109838054637e-14,3.13423261315954e-15
19.9199199199199,3.22120020812212e-14,3.22442463275488e-15
20.02002002002,3.31416268806072e-14,3.31748016822895e-15
20.1201201201201,3.41008519851602e-14,3.41349869721324e-15
20.2202202202202,3.50907086900053e-14,3.51258345245298e-15
20.3203203203203,3.61122673334739e-14,3.61484157492232e-15
20.4204204204204,3.71666388937577e-14,3.72038427364943e-15
20.5205205205205,3.82549766557329e-14,3.82932699256586e-15
20.6206206206206,3.93784779512521e-14,3.94178958470992e-15
20.7207207207207,4.0538385976377e-14,4.05789649413184e-15
20.8208208208208,4.17359916891821e-14,4.17777694586408e-15
