"alpha0","beta"
28.7951807228916,-1.1855421686747
25.5823293172691,-0.329317269076305
22.3694779116466,-0.538152610441767
24.6184738955823,-0.621686746987952
25.421686746988,-0.454618473895582
26.8674698795181,-1.8433734939759
25.1004016064257,-1.22730923694779
26.706827309237,-1.8433734939759
21.566265060241,-0.914056224899598
20.281124497992,-0.527710843373494
24.9397590361446,-0.454618473895582
25.5823293172691,-0.611244979919679
23.1726907630522,-1.27951807228916
27.6706827309237,-0.757429718875502
24.4578313253012,-0.746987951807229
26.5461847389558,-0.98714859437751
23.9759036144578,-0.642570281124498
21.7269076305221,-0.24578313253012
23.0120481927711,-0.997590361445783
24.136546184739,-0.318875502008032
25.1004016064257,-1.21686746987952
20.6024096385542,-0.71566265060241
24.7791164658635,-0.653012048192771
23.8152610441767,-1.16465863453815
22.2088353413655,-0.673895582329317
22.3694779116466,-1.14377510040161
24.4578313253012,-0.893172690763052
26.0642570281125,-1.32128514056225
23.3333333333333,-0.653012048192771
25.9036144578313,-1.77028112449799
22.85140562249,-1.25863453815261
24.136546184739,-0.517269076305221
23.8152610441767,-0.98714859437751
26.706827309237,-0.371084337349397
24.136546184739,-1.09156626506024
26.0642570281125,-0.757429718875502
25.7429718875502,-0.632128514056225
26.3855421686747,-1.23775100401606
24.2971887550201,-1.17510040160643
23.6546184738956,-1.26907630522088
21.8875502008032,-1.00803212851406
24.136546184739,-1.37349397590361
23.6546184738956,-1.16465863453815
22.2088353413655,-1.55100401606426
25.9036144578313,-1.03935742971888
23.0120481927711,-0.914056224899598
23.8152610441767,-1.48835341365462
24.136546184739,-0.391967871485944
23.8152610441767,-1.55100401606426
23.9759036144578,-0.224899598393574
24.9397590361446,-0.945381526104418
21.8875502008032,0.02570281124498
26.3855421686747,-1.89558232931727
23.3333333333333,-1.5718875502008
25.421686746988,-0.590361445783132
23.8152610441767,-0.0787148594377509
24.4578313253012,0.391164658634538
26.3855421686747,-0.694779116465863
23.3333333333333,-1.77028112449799
23.8152610441767,0.00481927710843388
23.0120481927711,-1.07068273092369
25.2610441767068,-0.799196787148594
25.9036144578313,-0.475502008032128
25.2610441767068,-1.10200803212851
27.0281124497992,-0.830522088353414
25.1004016064257,-1.13333333333333
23.8152610441767,-0.85140562248996
23.6546184738956,-0.68433734939759
24.136546184739,-1.31084337349398
27.3493975903614,-1.60321285140562
21.566265060241,-0.840963855421687
25.2610441767068,-1.33172690763052
23.1726907630522,-1.13333333333333
25.5823293172691,-1.6136546184739
25.421686746988,-0.287550200803213
22.3694779116466,-1.50923694779116
25.7429718875502,-0.914056224899598
25.2610441767068,0.0152610441767069
24.136546184739,-0.141365461847389
25.7429718875502,-1.40481927710843
26.3855421686747,-0.893172690763052
25.7429718875502,-0.726104417670683
24.9397590361446,-0.41285140562249
26.2248995983936,-1.17510040160643
24.6184738955823,-0.204016064257028
26.5461847389558,-1.09156626506024
23.8152610441767,-1.93734939759036
24.9397590361446,-1.66586345381526
23.4939759036145,-0.329317269076305
26.3855421686747,-0.00562248995983916
26.2248995983936,-0.694779116465863
23.3333333333333,0.119678714859438
24.9397590361446,-1.3421686746988
25.2610441767068,-1.39437751004016
24.9397590361446,-0.82008032128514
26.5461847389558,-0.193574297188755
24.4578313253012,-1.5718875502008
23.8152610441767,-1.01847389558233
22.3694779116466,-1.64497991967871
23.4939759036145,-0.235341365461847
26.3855421686747,-1.8433734939759
25.9036144578313,-0.757429718875502
23.6546184738956,-0.381526104417671
26.2248995983936,-0.976706827309237
27.9919678714859,-1.15421686746988
26.5461847389558,-0.955823293172691
26.706827309237,-1.04979919678715
25.5823293172691,-1.50923694779116
21.7269076305221,-1.1855421686747
25.421686746988,-0.621686746987952
25.9036144578313,-1.5718875502008
24.6184738955823,-1.0289156626506
22.6907630522088,-1.15421686746988
23.6546184738956,-0.997590361445783
25.1004016064257,-1.03935742971888
23.6546184738956,-0.809638554216867
22.2088353413655,-0.68433734939759
27.1887550200803,-1.38393574297189
24.6184738955823,-0.360642570281124
24.2971887550201,-1.93734939759036
21.566265060241,-1.01847389558233
26.0642570281125,-1.40481927710843
24.2971887550201,-1.81204819277108
24.4578313253012,-1.16465863453815
23.8152610441767,-1.23775100401606
22.0481927710843,-0.98714859437751
23.4939759036145,-0.496385542168674
22.5301204819277,-1.40481927710843
24.136546184739,-0.329317269076305
23.8152610441767,-1.71807228915663
22.5301204819277,-0.089156626506024
26.0642570281125,-0.736546184738956
22.85140562249,-0.726104417670683
24.9397590361446,-1.13333333333333
21.8875502008032,-0.872289156626506
26.8674698795181,-1.27951807228916
23.8152610441767,-1.13333333333333
26.8674698795181,-1.70763052208835
23.3333333333333,-0.0265060240963855
22.6907630522088,0.00481927710843388
23.9759036144578,-1.46746987951807
26.8674698795181,-1.47791164658635
21.0843373493976,-0.611244979919679
23.9759036144578,0.00481927710843388
25.1004016064257,-0.778313253012048
27.0281124497992,-0.903614457831325
28.7951807228916,-0.11004016064257
23.8152610441767,-1.35261044176707
22.5301204819277,-0.214457831325301
