"year","lambda","y_star"
1986,18.3983935742972,24
1986,14.8305220883534,17
1986,18.7935742971888,17
1986,21.0104417670683,20
1986,24.5381526104418,23
1986,13.3301204819277,17
1986,16.5574297188755,12
1986,17.7012048192771,10
1986,15.5228915662651,12
1986,20.4690763052209,22
1986,16.9751004016064,10
1986,15.0698795180723,11
1986,18.1156626506024,15
1986,21.3012048192771,21
1986,19.5759036144578,24
1986,20.4658634538153,23
1986,24.6698795180723,39
1986,12.8401606425703,8
1986,19.8698795180723,20
1986,27.3606425702811,21
1986,19.285140562249,21
1986,16.3068273092369,17
1986,21.1100401606426,18
1986,16.3421686746988,15
1986,18.1670682730924,17
1986,13.6273092369478,14
1986,24.6522088353414,29
1986,17.2979919678715,12
1986,19.7622489959839,15
1986,19.055421686747,23
1986,13.3269076305221,14
1986,15.7574297188755,16
1986,22.9317269076305,30
1986,16.655421686747,14
1986,21.0602409638554,20
1986,23.8763052208835,22
1986,21.9228915662651,33
1986,14.0497991967871,11
1986,17.0473895582329,14
1986,21.5550200803213,17
1986,14.3180722891566,15
1986,15.0441767068273,16
1986,20.4738955823293,16
1986,17.6273092369478,22
1986,20.3598393574297,20
1986,22.1927710843374,30
1986,17.863453815261,15
1986,15.7734939759036,19
1986,15.2208835341365,17
1986,20.0112449799197,25
1986,17.914859437751,22
1986,20.9156626506024,20
1986,25.0666666666667,30
1986,24.1574297188755,23
1986,21.9775100401606,22
1986,16.4835341365462,13
1986,16.4706827309237,15
1986,18.5301204819277,21
1986,21.0024096385542,12
1986,19.8489959839357,20
1986,20.9895582329317,26
1986,26.6827309236948,28
1986,19.0024096385542,16
1986,15.3012048192771,11
1986,13.9582329317269,16
1986,17.2562248995984,16
1986,22.4032128514056,30
1986,13.0907630522088,9
1986,15.8955823293173,13
1986,21.4248995983936,18
1986,24.3630522088353,24
1986,22.3309236947791,20
1986,19.8232931726908,23
1986,18.5895582329317,15
1986,17.0281124497992,21
1986,17.2738955823293,16
1986,25.2771084337349,22
1986,14.5269076305221,12
1986,19.3542168674699,17
1986,25.0200803212851,26
1986,17.1951807228916,16
1986,21.7734939759036,32
1986,19.1341365461847,20
1986,18.7212851405622,22
1986,15.566265060241,11
1986,17.8152610441767,21
1986,15.5598393574297,15
1986,23.7718875502008,23
1986,17.0714859437751,20
1986,21.114859437751,21
1986,18.1012048192771,22
1986,15.1550200803213,15
1986,18.8321285140562,24
1986,24.2570281124498,15
1986,14.2072289156626,25
1986,23.7285140562249,33
1986,16.2232931726908,16
1986,15.5116465863454,18
1986,21.6819277108434,23
1986,23.6064257028112,19
1986,19.140562248996,24
1986,20.8883534136546,26
1986,22.6939759036145,22
1986,15.8072289156626,17
1986,17.736546184739,19
1986,15.6465863453815,16
1986,16.0819277108434,18
1986,17.114859437751,20
1986,22.2120481927711,24
1986,21.914859437751,16
1986,15.4955823293173,15
1986,23.1261044176707,25
1986,19.9759036144578,22
1986,20.6232931726908,15
1986,20.1204819277108,19
1986,20.2522088353414,21
1986,17.0265060240964,13
1986,22.2232931726908,22
1986,17.7991967871486,17
1986,16.3084337349398,21
1986,20.8610441767068,25
1986,16.8273092369478,12
1986,18.1654618473896,12
1986,15.5068273092369,12
1986,19.0987951807229,24
1986,18.136546184739,24
1986,19.4152610441767,24
1986,15.2819277108434,19
1986,15.2995983935743,12
1986,21.0329317269076,24
1986,17.8923694779117,18
1986,24.4803212851406,19
1986,17.5871485943775,23
1986,21.5196787148594,14
1986,21.9502008032129,22
1986,18.9590361445783,22
1986,17.2465863453815,21
1986,16.0401606425703,10
1986,15.8393574297189,18
1986,15.8955823293173,23
1986,16.6666666666667,16
1986,12.9028112449799,16
