"alpha0","beta","posterior_mass"
31.6867469879518,-1.98955823293173,4.0036206551344e-08
31.8473895582329,-1.98955823293173,2.83036357038172e-08
32.0080321285141,-1.98955823293173,1.98722184193957e-08
32.1686746987952,-1.98955823293173,1.3857946806955e-08
32.3293172690763,-1.98955823293173,9.5991515145556e-09
32.4899598393574,-1.98955823293173,6.6051191932252e-09
32.6506024096386,-1.98955823293173,4.5151710546197e-09
32.8112449799197,-1.98955823293173,3.06651314503212e-09
32.9718875502008,-1.98955823293173,2.06929941141887e-09
33.1325301204819,-1.98955823293173,1.38752241306473e-09
33.293172690763,-1.98955823293173,9.24537713851889e-10
33.4538152610442,-1.98955823293173,6.12218565098856e-10
33.6144578313253,-1.98955823293173,4.02915895741863e-10
33.7751004016064,-1.98955823293173,2.63558290281112e-10
33.9357429718875,-1.98955823293173,1.71364636756682e-10
34.0963855421687,-1.98955823293173,1.10758072201252e-10
34.2570281124498,-1.98955823293173,7.11649595711203e-11
34.4176706827309,-1.98955823293173,4.54590342209476e-11
34.578313253012,-1.98955823293173,2.88711114008982e-11
34.7389558232932,-1.98955823293173,1.82314750314445e-11
34.8995983935743,-1.98955823293173,1.14477575011902e-11
35.0602409638554,-1.98955823293173,7.14799519289221e-12
35.2208835341365,-1.98955823293173,4.4385162912173e-12
35.3815261044177,-1.98955823293173,2.74097617660588e-12
35.5421686746988,-1.98955823293173,1.68348925391436e-12
35.7028112449799,-1.98955823293173,1.0284341441847e-12
35.863453815261,-1.98955823293173,6.24923311588781e-13
36.0240963855422,-1.98955823293173,3.77731989143337e-13
36.1847389558233,-1.98955823293173,2.27127628925889e-13
36.3453815261044,-1.98955823293173,1.35864925663325e-13
36.5060240963855,-1.98955823293173,8.08570008916999e-14
36.6666666666667,-1.98955823293173,4.78764746185699e-14
36.8273092369478,-1.98955823293173,2.82060338718731e-14
36.9879518072289,-1.98955823293173,1.65347625066845e-14
37.14859437751,-1.98955823293173,9.64518208788739e-15
37.3092369477912,-1.98955823293173,5.59885974209326e-15
37.4698795180723,-1.98955823293173,3.23433722201312e-15
37.6305220883534,-1.98955823293173,1.85946130315228e-15
37.7911646586345,-1.98955823293173,1.06395786291372e-15
37.9518072289157,-1.98955823293173,6.05921243096173e-16
38.1124497991968,-1.98955823293173,3.43463946881125e-16
38.2730923694779,-1.98955823293173,1.93792898470376e-16
38.433734939759,-1.98955823293173,1.08844007622272e-16
38.5943775100402,-1.98955823293173,6.0855402527893e-17
38.7550200803213,-1.98955823293173,3.38718908878172e-17
38.9156626506024,-1.98955823293173,1.87690773607221e-17
39.0763052208835,-1.98955823293173,1.03544453818144e-17
39.2369477911647,-1.98955823293173,5.68732717642353e-18
39.3975903614458,-1.98955823293173,3.11031107327134e-18
39.5582329317269,-1.98955823293173,1.69367565672913e-18
39.718875502008,-1.98955823293173,9.18340652436174e-19
39.8795180722892,-1.98955823293173,4.95838952860291e-19
40.0401606425703,-1.98955823293173,2.66597854072158e-19
40.2008032128514,-1.98955823293173,1.42747177644045e-19
40.3614457831325,-1.98955823293173,7.611824660487e-20
40.5220883534137,-1.98955823293173,4.04236638617354e-20
40.6827309236948,-1.98955823293173,2.13807686352638e-20
40.8433734939759,-1.98955823293173,1.12633243100365e-20
41.004016064257,-1.98955823293173,5.90990092579169e-21
41.1646586345382,-1.98955823293173,3.08872085011147e-21
41.3253012048193,-1.98955823293173,1.60796389768333e-21
41.4859437751004,-1.98955823293173,8.33848680805303e-22
41.6465863453815,-1.98955823293173,4.30750193782578e-22
41.8072289156626,-1.98955823293173,2.21668911423807e-22
41.9678714859438,-1.98955823293173,1.1364197751352e-22
42.1285140562249,-1.98955823293173,5.80418047631503e-23
42.289156626506,-1.98955823293173,2.95341477382576e-23
42.4497991967871,-1.98955823293173,1.49727819662162e-23
42.6104417670683,-1.98955823293173,7.5628943142707e-24
42.7710843373494,-1.98955823293173,3.80621948649945e-24
42.9317269076305,-1.98955823293173,1.90867738018597e-24
43.0923694779116,-1.98955823293173,9.53710597122411e-25
43.2530120481928,-1.98955823293173,4.7485214450805e-25
43.4136546184739,-1.98955823293173,2.35597183596206e-25
43.574297188755,-1.98955823293173,1.16483313407963e-25
43.7349397590361,-1.98955823293173,5.73919735114957e-26
43.8955823293173,-1.98955823293173,2.81802066252463e-26
44.0562248995984,-1.98955823293173,1.37896857294732e-26
44.2168674698795,-1.98955823293173,6.72501439122948e-27
44.3775100401606,-1.98955823293173,3.26867739248065e-27
44.5381526104418,-1.98955823293173,1.58344177052401e-27
