"alpha","beta","log_likelihood"
0.608087221558201,18.2284798398407,36896.888909867
0.645042798558976,18.2284798398407,37263.5299133211
0.68199837555975,18.2284798398407,37560.5644846784
0.718953952560525,18.2284798398407,37794.0689454022
0.7559095295613,18.2284798398407,37969.2548990797
0.792865106562074,18.2284798398407,38090.6312969185
0.829820683562849,18.2284798398407,38162.1298267
0.866776260563624,18.2284798398407,38187.2031944619
0.903731837564398,18.2284798398407,38168.9030717761
0.940687414565173,18.2284798398407,38109.942582321
0.977642991565947,18.2284798398407,38012.7468880055
1.01459856856672,18.2284798398407,37879.4945114136
1.0515541455675,18.2284798398407,37712.1513721436
1.08850972256827,18.2284798398407,37512.4990375176
1.12546529956905,18.2284798398407,37282.1583383905
1.16242087656982,18.2284798398407,37022.6092413596
1.1993764535706,18.2284798398407,36735.207674124
1.23633203057137,18.2284798398407,36421.1998533515
1.27328760757214,18.2284798398407,36081.7345516863
1.31024318457292,18.2284798398407,35717.8736535486
1.34719876157369,18.2284798398407,35330.6012817016
1.38415433857447,18.2284798398407,34920.8317234931
1.42110991557524,18.2284798398407,34489.4163437619
1.45806549257602,18.2284798398407,34037.1496380562
1.49502106957679,18.2284798398407,33564.7745531196
1.53197664657757,18.2284798398407,33072.9871800961
1.56893222357834,18.2284798398407,32562.440908485
1.60588780057912,18.2284798398407,32033.7501146797
1.64284337757989,18.2284798398407,31487.4934472967
1.67979895458067,18.2284798398407,30924.2167619331
1.71675453158144,18.2284798398407,30344.4357500694
1.75371010858222,18.2284798398407,29748.6383002615
1.79066568558299,18.2284798398407,29137.2866242746
1.82762126258376,18.2284798398407,28510.8191762121
1.86457683958454,18.2284798398407,27869.652388823
1.90153241658531,18.2284798398407,27214.1822479052
1.93848799358609,18.2284798398407,26544.7857229493
1.97544357058686,18.2284798398407,25861.8220698159
2.01239914758764,18.2284798398407,25165.6340192247
2.04935472458841,18.2284798398407,24456.5488631167
2.08631030158919,18.2284798398407,23734.879449469
2.12326587858996,18.2284798398407,23000.925094873
2.16022145559074,18.2284798398407,22254.9724230817
2.19717703259151,18.2284798398407,21497.2961367852
2.23413260959229,18.2284798398407,20728.1597290409
2.27108818659306,18.2284798398407,19947.816140067
2.30804376359383,18.2284798398407,19156.508364481
2.34499934059461,18.2284798398407,18354.4700135091
2.38195491759538,18.2284798398407,17541.9258362163
2.41891049459616,18.2284798398407,16719.0922033776
2.45586607159693,18.2284798398407,15886.1775572409
2.49282164859771,18.2284798398407,15043.3828300994
2.52977722559848,18.2284798398407,14190.9018343006
2.56673280259926,18.2284798398407,13328.9216260627
2.60368837960003,18.2284798398407,12457.6228452344
2.64064395660081,18.2284798398407,11577.1800329352
2.67759953360158,18.2284798398407,10687.761928828
2.71455511060236,18.2284798398407,9789.53174961394
2.75151068760313,18.2284798398407,8882.64745019526
2.7884662646039,18.2284798398407,7967.26196881907
2.82542184160468,18.2284798398407,7043.52345740183
2.86237741860545,18.2284798398407,6111.57549812515
2.89933299560623,18.2284798398407,5171.55730730327
2.936288572607,18.2284798398407,4223.60392743365
2.97324414960778,18.2284798398407,3267.84640826763
3.01019972660855,18.2284798398407,2304.41197766816
3.04715530360933,18.2284798398407,1333.42420295817
3.0841108806101,18.2284798398407,355.003143406249
3.12106645761088,18.2284798398407,-630.734505554536
3.15802203461165,18.2284798398407,-1623.67527582698
3.19497761161243,18.2284798398407,-2623.70879736334
3.2319331886132,18.2284798398407,-3630.72767562623
3.26888876561398,18.2284798398407,-4644.62737536498
3.30584434261475,18.2284798398407,-5665.30611030959
3.34279991961552,18.2284798398407,-6692.6647384124
3.3797554966163,18.2284798398407,-7726.6066622969
3.41671107361707,18.2284798398407,-8767.03773459455
3.45366665061785,18.2284798398407,-9813.86616787702
3.49062222761862,18.2284798398407,-10867.0024489097
3.5275778046194,18.2284798398407,-11926.3592569723
3.56453338162017,18.2284798398407,-12991.8513860088
3.60148895862095,18.2284798398407,-14063.395670389
3.63844453562172,18.2284798398407,-15140.9109140725
3.6754001126225,18.2284798398407,-16224.3178229872
3.71235568962327,18.2284798398407,-17313.5389404405
3.74931126662405,18.2284798398407,-18408.4985853973
3.78626684362482,18.2284798398407,-19509.122793469
3.8232224206256,18.2284798398407,-20615.3392604654
3.86017799762637,18.2284798398407,-21727.0772883746
3.89713357462714,18.2284798398407,-22844.2677336419
3.93408915162792,18.2284798398407,-23966.8429576265
3.97104472862869,18.2284798398407,-25094.7367791243
4.00800030562947,18.2284798398407,-26227.8844288507
4.04495588263024,18.2284798398407,-27366.2225057836
4.08191145963102,18.2284798398407,-28509.6889352727
4.11886703663179,18.2284798398407,-29658.222928828
4.15582261363257,18.2284798398407,-30811.7649455041
4.19277819063334,18.2284798398407,-31970.2566548024
4.22973376763412,18.2284798398407,-33133.6409010178
4.26668934463489,18.2284798398407,-34301.8616689605
4.30364492163567,18.2284798398407,-35474.8640509886
4.34060049863644,18.2284798398407,-36652.594215287
4.37755607563721,18.2284798398407,-37834.9993753389
4.41451165263799,18.2284798398407,-39022.0277605301
4.45146722963876,18.2284798398407,-40213.628587837
4.48842280663954,18.2284798398407,-41409.7520345497
4.52537838364031,18.2284798398407,-42610.3492119803
4.56233396064109,18.2284798398407,-43815.3721401157
4.59928953764186,18.2284798398407,-45024.7737231722
4.63624511464264,18.2284798398407,-46238.5077260112
4.67320069164341,18.2284798398407,-47456.5287513796
4.71015626864419,18.2284798398407,-48678.7922179402
4.74711184564496,18.2284798398407,-49905.2543390555
4.78406742264574,18.2284798398407,-51135.8721022965
4.82102299964651,18.2284798398407,-52370.603249643
4.85797857664728,18.2284798398407,-53609.4062583488
4.89493415364806,18.2284798398407,-54852.240322442
4.93188973064883,18.2284798398407,-56099.0653348373
4.96884530764961,18.2284798398407,-57349.8418700318
5.00580088465038,18.2284798398407,-58604.5311673648
5.04275646165116,18.2284798398407,-59863.0951148145
5.07971203865193,18.2284798398407,-61125.4962333147
5.11666761565271,18.2284798398407,-62391.6976615673
5.15362319265348,18.2284798398407,-63661.6631413335
5.19057876965426,18.2284798398407,-64935.3570031844
5.22753434665503,18.2284798398407,-66212.7441526926
5.26448992365581,18.2284798398407,-67493.7900570495
5.30144550065658,18.2284798398407,-68778.46073209
5.33840107765736,18.2284798398407,-70066.7227297113
5.37535665465813,18.2284798398407,-71358.54312567
5.4123122316589,18.2284798398407,-72653.889507743
5.44926780865968,18.2284798398407,-73952.7299642404
5.48622338566045,18.2284798398407,-75255.0330728557
5.52317896266123,18.2284798398407,-76560.7678898412
5.560134539662,18.2284798398407,-77869.9039394999
5.59709011666278,18.2284798398407,-79182.4112039767
5.63404569366355,18.2284798398407,-80498.2601133446
5.67100127066433,18.2284798398407,-81817.421535971
5.7079568476651,18.2284798398407,-83139.866769156
5.74491242466588,18.2284798398407,-84465.5675300334
5.78186800166665,18.2284798398407,-85794.4959467243
5.81882357866743,18.2284798398407,-87126.6245497363
5.8557791556682,18.2284798398407,-88461.9262635968
5.89273473266898,18.2284798398407,-89800.3743987173
5.92969030966975,18.2284798398407,-91141.9426434753
5.96664588667052,18.2284798398407,-92486.6050565113
6.0036014636713,18.2284798398407,-93834.3360592306
6.04055704067207,18.2284798398407,-95185.1104285047
6.07751261767285,18.2284798398407,-96538.9032895656
6.11446819467362,18.2284798398407,-97895.6901090856
6.1514237716744,18.2284798398407,-99255.4466884381
6.18837934867517,18.2284798398407,-100618.149157133
6.22533492567595,18.2284798398407,-101983.773966419
6.26229050267672,18.2284798398407,-103352.297883054
6.2992460796775,18.2284798398407,-104723.697983228
6.33620165667827,18.2284798398407,-106097.951646643
6.37315723367905,18.2284798398407,-107475.036550744
6.41011281067982,18.2284798398407,-108854.930665084
0.534176067556652,19.4079697118304,35880.813727402
0.571131644557426,19.4079697118304,36446.5026425833
0.608087221558201,19.4079697118304,36926.8452528209
0.645042798558976,19.4079697118304,37330.3558042755
0.68199837555975,19.4079697118304,37664.1881292415
0.718953952560525,19.4079697118304,37934.4188282677
0.7559095295613,19.4079697118304,38146.2597824027
0.792865106562074,19.4079697118304,38304.2202187037
0.829820683562849,19.4079697118304,38412.2320992025
0.866776260563624,19.4079697118304,38473.7484026001
0.903731837564398,19.4079697118304,38491.8210715572
0.940687414565173,19.4079697118304,38469.163499278
